 [2019-05-16 10:18:01,764] INFO  4585[main] - applications.Main.main(Main.java:48) - 输出应用一的选择菜单
 [2019-05-16 10:20:47,009] INFO     0[main] - applications.Main.main(Main.java:36) - 选择trackgame应用
 [2019-05-16 10:20:47,043] INFO    34[main] - applications.Main.main(Main.java:40) - 读取trackgame.txt的信息
 [2019-05-16 10:20:47,043] INFO    34[main] - applications.Main.main(Main.java:44) - 正在对读入文本进行正则表达式解析！
 [2019-05-16 10:20:47,048]ERROR    39[main] - circularOrbit.TrackGame.Analysis(TrackGame.java:146) - 运动员第二个参数不是纯数字，重新输入文件
 [2019-05-16 10:20:51,565] INFO  4556[main] - applications.Main.main(Main.java:48) - 输出应用一的选择菜单
 [2019-05-16 10:29:17,308] INFO     0[main] - applications.Main.main(Main.java:36) - 选择trackgame应用
 [2019-05-16 10:29:17,340] INFO    32[main] - applications.Main.main(Main.java:40) - 读取trackgame.txt的信息
 [2019-05-16 10:29:17,340] INFO    32[main] - applications.Main.main(Main.java:44) - 正在对读入文本进行正则表达式解析！
 [2019-05-16 10:29:17,357]ERROR    49[main] - circularOrbit.TrackGame.Analysis(TrackGame.java:146) - 运动员第二个参数不是纯数字，重新输入文件
 [2019-05-16 10:29:22,278] INFO  4970[main] - applications.Main.main(Main.java:48) - 输出应用一的选择菜单
 [2019-05-16 10:33:50,742] INFO     0[main] - applications.Main.main(Main.java:36) - 选择trackgame应用
 [2019-05-16 10:33:50,773] INFO    31[main] - applications.Main.main(Main.java:40) - 读取trackgame.txt的信息
 [2019-05-16 10:33:50,773] INFO    31[main] - applications.Main.main(Main.java:44) - 正在对读入文本进行正则表达式解析！
 [2019-05-16 10:33:50,773]ERROR    31[main] - circularOrbit.TrackGame.Analysis(TrackGame.java:146) - 运动员第二个参数不是纯数字，重新输入文件
 [2019-05-16 10:33:55,343] INFO  4601[main] - applications.Main.main(Main.java:48) - 输出应用一的选择菜单
 [2019-05-16 10:35:47,420] INFO     0[main] - applications.Main.main(Main.java:36) - 选择trackgame应用
 [2019-05-16 10:35:47,443] INFO    23[main] - applications.Main.main(Main.java:40) - 读取trackgame.txt的信息
 [2019-05-16 10:35:47,446] INFO    26[main] - applications.Main.main(Main.java:44) - 正在对读入文本进行正则表达式解析！
 [2019-05-16 10:35:47,449]ERROR    29[main] - circularOrbit.TrackGame.Analysis(TrackGame.java:146) - 运动员第二个参数不是纯数字，重新输入文件
 [2019-05-16 10:35:52,167] INFO  4747[main] - applications.Main.main(Main.java:48) - 输出应用一的选择菜单
 [2019-05-16 10:38:48,817] INFO     0[main] - applications.Main.main(Main.java:36) - 选择trackgame应用
 [2019-05-16 10:38:48,848] INFO    31[main] - applications.Main.main(Main.java:40) - 读取trackgame.txt的信息
 [2019-05-16 10:38:48,848] INFO    31[main] - applications.Main.main(Main.java:44) - 正在对读入文本进行正则表达式解析！
 [2019-05-16 10:38:48,865]ERROR    48[main] - circularOrbit.TrackGame.Analysis(TrackGame.java:146) - 运动员第二个参数不是纯数字，重新输入文件
 [2019-05-16 10:38:53,533] INFO  4716[main] - applications.Main.main(Main.java:48) - 输出应用一的选择菜单
 [2019-05-16 10:41:20,854] INFO     0[main] - applications.Main.main(Main.java:36) - 选择trackgame应用
 [2019-05-16 10:41:20,885] INFO    31[main] - applications.Main.main(Main.java:40) - 读取trackgame.txt的信息
