 [2019-06-18 21:32:53,725] INFO 42316[Thread-23935] - lab6.monkey.run(monkey.java:144) - 猴子 3936 在等待在 
 [2019-06-18 21:32:54,318] INFO 42909[Thread-23935] - lab6.monkey.run(monkey.java:148) - 右边
 [2019-06-18 21:32:54,318] INFO 42909[Thread-23935] - lab6.monkey.run(monkey.java:153) - 30 秒过去出生后
 [2019-06-18 21:32:53,725] INFO 42316[Thread-23811] - lab6.monkey.run(monkey.java:144) - 猴子 3812 在等待在 
 [2019-06-18 21:32:54,318] INFO 42909[Thread-23811] - lab6.monkey.run(monkey.java:148) - 右边
 [2019-06-18 21:32:54,318] INFO 42909[Thread-23811] - lab6.monkey.run(monkey.java:153) - 30 秒过去出生后
 [2019-06-18 21:32:53,725] INFO 42316[Thread-22897] - lab6.monkey.run(monkey.java:144) - 猴子 2898 在等待在 
 [2019-06-18 21:32:54,318] INFO 42909[Thread-22897] - lab6.monkey.run(monkey.java:146) - 左边
 [2019-06-18 21:32:54,318] INFO 42909[Thread-22897] - lab6.monkey.run(monkey.java:153) - 29 秒过去出生后
 [2019-06-18 21:32:53,725] INFO 42316[Thread-22187] - lab6.monkey.run(monkey.java:144) - 猴子 2188 在等待在 
 [2019-06-18 21:32:54,318] INFO 42909[Thread-22187] - lab6.monkey.run(monkey.java:146) - 左边
 [2019-06-18 21:32:54,318] INFO 42909[Thread-22187] - lab6.monkey.run(monkey.java:153) - 28 秒过去出生后
 [2019-06-18 21:32:53,725] INFO 42316[Thread-21639] - lab6.monkey.run(monkey.java:144) - 猴子 1640 在等待在 
 [2019-06-18 21:32:54,318] INFO 42909[Thread-21639] - lab6.monkey.run(monkey.java:148) - 右边
 [2019-06-18 21:32:54,318] INFO 42909[Thread-21639] - lab6.monkey.run(monkey.java:153) - 29 秒过去出生后
 [2019-06-18 21:32:53,725] INFO 42316[Thread-22863] - lab6.monkey.run(monkey.java:144) - 猴子 2864 在等待在 
 [2019-06-18 21:32:54,318] INFO 42909[Thread-22863] - lab6.monkey.run(monkey.java:148) - 右边
